title,url,fb_engagement,published_date,category,source,roof;
Trump Invites Thai Boys To White House;" Boys Request To Return To Cave,https://www.burrardstreetjournal.com/trump-invites-thai-boys-to-white-house-boys-request-to-return-to-cave/,""249,260.00"",2018-07-11,Politics,"
"Anthony Bourdain Was About to Expose an Elite Pedophile Ring Before He Died,http://www.neonnettle.com/news/4269-anthony-bourdain-was-about-to-expose-an-elite-pedophile-ring-before-he-died,""239,243.00"",2018-06-09,Crime,";
"Viral Sensation ""Lil Tay"" Has Been Picked Up By Los Angeles Child Protection Services,https://www.huzlers.com/viral-sensation-lil-tay-has-been-picked-up-by-los-angeles-child-protection-services/,""237,327.00"",2018-05-04,,";
"Post Malone's Tour Manager Quits Says Post Malone Smells Like Expired Milk And Moldy Cheese,https://www.huzlers.com/post-malones-tour-manager-quits-says-post-malone-smells-like-expired-milk-and-moldy-cheese/,""235,214.00"",2018-09-19,Music,";
"Lil Tay Rushed To Hospital After Being Beat By Group Of Children At A Playground,https://www.huzlers.com/lil-tay-rushed-to-hospital-after-being-beat-by-group-of-children-at-a-playground/,""234,888.00"",2018-04-22,,";
"Man Kills His Best Friend After Their Balls ""Touched"" During Threesome,https://www.8shit.net/man-kills-his-best-friend-after-their-balls-touched-during-threesome/,""231,055.00"",2018-03-23,Crime,";
"Pedophile’s Decapitated Corpse Found On Judge’s Doorstep After Bail Hearing - cvikasdrv.com,http://www.cvikasdrv.com/2018/09/01/pedophiles-decapitated-corpse-found-on-judges-doorstep-after-bail-hearing/,""217,289.00"",2018-09-01,Crime,";
"Canadian trapper survives brutal sexual assault by 200-pound beaver,https://worldnewsdailyreport.com/canadian-trapper-survives-brutal-sexual-assault-by-200-pound-beaver/,""204,833.00"",2018-03-04,Crime,";
"Inmates Played ""Look At Me"" While They Raped XXXTentacion's Alleged Murderer,https://www.huzlers.com/inmates-played-look-at-me-while-they-raped-xxxtentacions-alleged-murderer/,""195,766.00"",2018-06-30,Crime,";
"Biology student has been denounced for crossing a weed plant with strawberries,https://thereisnews.com/biology-student-has-been-denounced-by-cross-a-marijuana-plant-with-strawberries3333/,""193,886.00"",2018-07-14,Medical,";
"MAN CUTS OFF HIS DICK TO SHOW HIS FAITHFULNESS TO ESTRANGED GIRLFRIEND,http://www.react365.com/5b8933c62ae6f/man-cuts-off-his-dick-to-show-his-faithfulness-to-estranged-girlfriend.html,""192,731.00"",2018-09-02,,";
"Manchester to be renamed Personchester after sexism complaints,https://uokhun.uk/2018/10/18/manchester-to-be-renamed-personchester-after-sexism-complaints/,""176,285.00"",2018-10-18,Politics,Trendolizer/FB API";
"7 Arrested After Retirement Home Raided By FBI For Running Elderly Fight Club,https://www.huzlers.com/7-arrested-after-retirement-home-raided-by-fbi-for-running-elderly-fight-club/,""171,600.00"",2018-06-23,Crime,";
"Mother arrested for leaving children in the car for 9 hours while at all-you-can-eat buffet,https://worldnewsdailyreport.com/mother-arrested-for-leaving-children-in-the-car-for-9-hours-while-at-all-you-can-eat-buffet/,""169,720.00"",2018-09-23,Crime,";
"Texas: Man freed after outliving 99-year prison sentence for horse theft,https://worldnewsdailyreport.com/texas-man-freed-after-outliving-99-year-prison-sentence-for-horse-theft/,""168,539.00"",2018-07-14,Crime,";
"Man accused of raping a cow claims it is the reincarnation of his dead wife,https://worldnewsdailyreport.com/man-accused-of-raping-a-cow-claims-it-is-the-reincarnation-of-his-dead-wife/,""166,508.00"",2018-02-09,Crime,";
"Pope Francis Forgives 4,444 Pedophile Priests In Australia,https://yournewswire.com/pope-francis-pedophile-priests-australia/,""158,358.00"",2018-02-27,Crime,";
"Superstar DJ Avicii Found Dead After Exposing Pedophile Ring,https://yournewswire.com/dj-avicii-dead-pedophile-ring/,""157,927.00"",2018-04-26,Crime,";
"Man arrested for putting fake arrow decals on the floor in IKEA and for creating a labyrinth with no exit,https://thereisnews.com/man-arrested-for-put-fake-arrow-decals-on-the-floor-of-walmart-and-create-a-labyrinth-with-no-exit9999/,""148,807.00"",2018-10-15,,";
"Erie, Pennsylvania: Woman high on meth dies after pumping gasoline into her anus,http://cbsnews10.com/erie-pennsylvania-woman-high-on-meth-dies-after-pumping-gasoline-into-her-anus/,""147,289.00"",2018-10-11,,Trendolizer/FB API";
"Teen on ‘female Viagra’ crashes into building while masturbating to gear shift,https://worldnewsdailyreport.com/teen-on-female-viagra-crashes-into-building-while-masturbating-to-gear-shift/,""143,028.00"",2018-07-15,,";
"Sex Robots That Can Cook, Clean Efficiently Will Be Available By 2019,https://www.huzlers.com/sex-robots-that-can-cook-clean-efficiently-will-be-available-by-2019/,""142,160.00"",2018-01-30,,";
"Man Kills His Best Friend For Not Saying “No Homo” After 10-hour Anal Session,https://www.huzlers.com/man-kills-his-best-friend-for-not-saying-no-homo-after-10-hour-anal-session/,""142,127.00"",2018-05-27,,";
"Congress Calls For Immediate Arrest Of John Kerry For Treason,https://yournewswire.com/congress-arrest-john-kerry-treason/,""139,011.00"",2018-05-06,,";
"Pregnant teen seeks 13 paternity tests after gangbang with football team,https://worldnewsdailyreport.com/pregnant-teen-seeks-13-paternity-tests-after-gangbang-with-football-team/,""138,563.00"",2018-03-20,,";
"11 Year Old Boy Arrested For Yodeling In A Walmart Store,https://www.huzlers.com/11-year-old-boy-arrested-for-yodeling-in-a-walmart-store/,""138,059.00"",2018-04-09,,";
Migrant Beheads 1-Year-Old Girl In Germany;" Merkel Bans Media Reporting,https://yournewswire.com/migrant-beheads-girl-germany-merkel/,""136,935.00"",2018-07-06,,"
"Pope Francis: Gun Owners 'Can’t Call Themselves Christian' Anymore,https://neonnettle.com/news/4149-pope-francis-gun-owners-can-t-call-themselves-christian-anymore,""131,981.00"",2018-05-06,,";
"BREAKING NEWS: Joe Jackson arrested for smuggling a belt into heaven.,https://wittheshit.com/2018/06/29/breaking-news-joe-jackson-arrested-for-smuggling-a-belt-into-heaven-2/,""130,330.00"",2018-06-28,,";
"Roseanne Adopts 3 Year Old African Kid To Prove She’s Not Racist,https://www.huzlers.com/roseanne-adopts-3-year-old-african-kid-to-prove-shes-not-racist/,""128,657.00"",2018-05-31,,";
"Puerto Rico Mayor Facing Fraud Charges Over Millions In Gov't Funds,https://yournewswire.com/puerto-rico-mayor-fraud-disaster/,""127,885.00"",2018-07-15,,";
Graffiti Artist Banksy Arrested At Art Exhibit In Palestine;" Identity Revealed - News Examiner,http://newsexaminer.net/art/graffiti-artist-banksy-arrested-in-palestine-identity-revealed/,""127,097.00"",2018-02-22,,"
"H&M To Release ""Equally Racist"" Collection As Apology To Blacks (See Collection),https://www.huzlers.com/hm-to-release-equally-racist-collection-as-apology-to-blacks-see-collection/,""126,636.00"",2018-01-11,,";
"Woman arrested for trying out dozens of sex toys in the middle of a Walmart store,https://worldnewsdailyreport.com/woman-arrested-for-trying-out-dozens-of-sex-toys-in-the-middle-of-a-walmart-store/,""124,746.00"",2018-10-11,,";
"Joe Biden Calls on Mexicans to Rise Up Against Donald Trump,http://www.neonnettle.com/news/4379-joe-biden-calls-on-mexicans-to-rise-up-against-donald-trump,""124,510.00"",2018-06-25,,";
"Billionaire Couple Linked to the Clinton Foundation's Work in Haiti Found Dead in Claimed ""Murder/Suicide"",http://www.truthandaction.org/billionaire-couple-linked-to-the-clinton-foundations-work-in-haiti-found-dead-in-claimed-murdersuicide/,""123,226.00"",2018-01-23,,";
"FIFA Will Replace Couch-grass With A Baby Mat Floor To Protect Neymar,https://www.8shit.net/fifa-will-replace-couch-grass-with-a-baby-mat-floor-to-protect-neymar/,""121,068.00"",2018-07-02,,";
"Hairdresser arrested for making voodoo dolls from customers’ hair,https://worldnewsdailyreport.com/hairdresser-arrested-for-making-voodoo-dolls-from-customers-hair/,""120,501.00"",2018-09-06,,";
"Blue Wave: Los Angeles Typhus Cases Hit 100 as Rat-Infested Slums Spread Disease,https://neonnettle.com/news/5508-blue-wave-los-angeles-typhus-cases-hit-100-as-rat-infested-slums-spread-disease,""119,521.00"",2018-10-31,,";
"Big Bird to be renamed as as it is an offensive way of saying ‘fat woman’,https://uokhun.uk/2018/10/24/big-bird-to-be-renamed-as-as-it-is-an-offensive-way-of-saying-fat-woman/,""117,053.00"",2018-10-24,,";
"President Trump To Reclaim Federal Reserve From Rothschild Family,https://yournewswire.com/president-trump-reclaim-federal-reserve-rothschild/,""116,612.00"",2018-07-23,,";
"Man Arrested After Showing Officer ""Finger Circle"" When Asked For His License & Registration,https://www.huzlers.com/man-arrested-after-showing-officer-finger-circle-when-asked-for-his-license-registration/,""114,681.00"",2017-12-31,,";
"Canadians face major donut shortage after first day of cannabis legalization,https://worldnewsdailyreport.com/canadians-face-major-donut-shortage-after-first-day-of-cannabis-legalization/,""113,954.00"",2018-10-17,,";
"BREAKING NEWS: Rapper Tekashi 69 Has Died Of Apparent LIGMA Overdose He Was Only 22,https://www.huzlers.com/breaking-news-rapper-tekashi-69-has-died-of-apparent-ligma-overdose-he-was-only-22/,""112,959.00"",2018-09-18,,";
"Fire Dept: Room Of Servers, Hard Drives Destroyed In Clinton House Fire,https://yournewswire.com/nyfd-servers-hard-drives-clinton/,""109,655.00"",2018-01-03,,";
"Florida Man Stabs His Best Friend For ""Liking"" His Memes Instead Of Reacting With ""Haha"",https://www.8shit.net/florida-man-stabs-his-best-friend-for-liking-his-memes-instead-of-reacting-with-haha/,""107,398.00"",2018-08-06,,";
"20 Priests Connected To Vatican Pedophile Ring Killed In Plane Crash,https://yournewswire.com/20-priests-pedophile-ring-plane-crash/,""107,003.00"",2018-05-22,,";
"Canada's Supreme Court Rules Christian Views Are Not Part Of 'Diversity',https://yournewswire.com/canada-bans-christianity-classroom/,""106,376.00"",2018-06-22,,";
"Doctors Admit “Crystal Meth Is Actually Good For You”,https://www.huzlers.com/crystal-meth-actually-good-for-you-admit-doctors/,""106,374.00"",2018-09-29,,";
"Migrant Beheads 1-Year-Old Baby in Germany - Merkel Orders Media Blackout,https://neonnettle.com/news/4472-migrant-beheads-1-year-old-baby-in-germany-merkel-orders-media-blackout,""105,075.00"",2018-07-06,,";
"IG Report Says Bill Clinton Told Bare-Faced Lie To Nation About Tarmac Meeting,https://yournewswire.com/bill-clinton-lie-tarmac-meeting/,""104,516.00"",2018-07-02,,";
"New McDonald’s In Phoenix Run Entirely By Robots - News Examiner,https://newsexaminer.net/food/mcdonalds-to-open-restaurant-run-by-robots/,""103,763.00"",2018-03-14,,";
"Obama Filmed At Bilderberg: 'US Must Surrender To New World Order',https://yournewswire.com/obama-bilderberg-surrender-new-world/,""103,713.00"",2018-06-18,,";
"Pedophile Who Raped 3-Month-Old Baby Found Dead With Penis Sawn Off,https://yournewswire.com/pedophile-dead-penis-sawn/,""103,633.00"",2018-02-17,,";
"David Lynch: Trump Will Go Down History for Destroying The New World Order,http://www.neonnettle.com/news/4376-david-lynch-trump-will-go-down-history-for-destroying-the-new-world-order,""103,553.00"",2018-06-25,,";
"Washington DC Daycare Center Raided for 'Pimping Children' to Elite Pedophiles,http://www.neonnettle.com/news/4148-washington-dc-daycare-center-raided-for-pimping-children-to-elite-pedophiles,""100,840.00"",2018-05-06,,";
"Teacher on crystal meth strips naked in class and bites 2 students,https://worldnewsdailyreport.com/teacher-on-crystal-meth-strips-naked-in-class-and-bites-2-students/,""100,778.00"",2018-12-04,,";
"Florida Man Stabs Friend For Saying PUBG Is Better Than Fortnite,https://www.huzlers.com/florida-man-stabs-friend-for-saying-pubg-is-better-than-fortnite/,""99,125.00"",2018-04-30,,";
"Brexit advent calendar goes on sale with fuck all behind each door,https://uokhun.uk/2018/12/02/brexit-advent-calendar-goes-on-sale-with-fuck-all-behind-each-door/,""98,718.00"",2018-12-02,,";
"Robertson Blames School Shootings On Obama, Lesbians, Witches - The Business Standard News,https://bizstandardnews.com/2018/02/18/robertson-blames-school-shootings-obama-lesbians-witches/,""98,011.00"",2018-02-18,,";
"Florida Man Dies In Explosion After Attempting To Microwave A Microwave,https://www.8shit.net/florida-man-dies-in-explosion-after-attempting-to-microwave-a-microwave/,""97,951.00"",2018-07-03,,";
"Pedophile Who Raped 5-Year-Old Found Dead in Prison With 'Testicles Missing',https://neonnettle.com/news/4085-pedophile-who-raped-5-year-old-found-dead-in-prison-with-testicles-missing-,""95,887.00"",2018-04-22,,";
"Monsanto Has Quietly, Deceitfully Changed Its Name,https://yournewswire.com/monsanto-quietly-changed-name/,""94,836.00"",2018-06-06,,";
"Dog travels more than 100 km to bite its owner after being abandoned,https://thereisnews.com/dog-travels-more-than-100-km-to-bite-its-owner-after-being-abandoned/,""93,910.00"",2018-06-16,,";
"Second Broward County Sheriff's Deputy Dead After Exposing Parkland Shooting,https://yournewswire.com/second-broward-county-deputy-dead/,""93,099.00"",2018-04-29,,";
"Vegan Couple Adopts Broccoli Because They Don't Want A ""Flesh And Blood Child"",https://www.8shit.net/vegan-couple-adopts-broccoli-because-they-dont-want-a-flesh-and-blood-child/,""91,906.00"",2018-03-28,,";
"Maxine Waters Caught Illegally Funneling $750k to Daughter,https://neonnettle.com/news/4681-maxine-waters-caught-illegally-funneling-750k-to-daughter,""91,393.00"",2018-08-01,,";
"NEW LAW: You must pay child support if the person your dating has kids,https://wittheshit.com/2018/04/07/new-law-you-must-pay-child-support-if-the-person-your-dating-has-kids/,""90,835.00"",2018-04-06,,";
"Obama At Bilderberg: 'The US Must Surrender To the New World Order',https://neonnettle.com/news/4335-obama-at-bilderberg-the-us-must-surrender-to-the-new-world-order-,""90,720.00"",2018-06-18,,";
"Man sues state of Alabama over document from 1865 giving him right to own “black slaves”,https://worldnewsdailyreport.com/man-sues-state-of-alabama-over-document-from-1865-giving-him-right-to-own-black-slaves/,""87,009.00"",2018-05-21,,";
"Pope Francis Says That 'Homosexuality Is No Longer A Sin',https://yournewswire.com/pope-francs-homosexuality-sin/,""86,442.00"",2018-05-21,,";
